epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.912,0.53893,1.88134,1.31741,0.44078,0.38171,0.37401,0.32832,0.54441,1.53333,0.79255,0.0802966,0.000199024,0.000199024
2,236.762,0.41385,1.30001,1.16842,0.34951,0.45029,0.33222,0.19373,1.39405,2.38208,1.67408,0.0604965,0.000398981,0.000398981
3,356.154,0.38675,1.20446,1.13156,0.23861,0.38282,0.20376,0.04717,2.72292,3.59748,2.40256,0.0406963,0.000598764,0.000598764
4,475.545,0.37656,1.16028,1.12069,0.44309,0.56242,0.53903,0.44363,0.48131,1.49701,0.6987,0.0208958,0.000798244,0.000798244
5,591.389,0.32286,1.0656,1.07743,0.66247,0.74503,0.7501,0.70171,0.32733,0.91312,0.49847,0.00109485,0.00099729,0.00099729
6,705.905,0.29345,1.01471,1.05285,0.61902,0.80866,0.69775,0.68886,0.2702,0.76052,0.45046,0.000997288,0.000997288,0.000997288
7,820.512,0.26775,0.96006,1.02913,0.62011,0.88767,0.7771,0.75768,0.28183,0.72733,0.49071,0.000996097,0.000996097,0.000996097
8,935.549,0.26308,0.93206,1.02743,0.59282,0.62665,0.65088,0.54322,0.43419,1.10361,0.53533,0.00099469,0.00099469,0.00099469
9,1050.7,0.26411,0.92288,1.02259,0.57536,0.56037,0.63685,0.61161,0.24835,1.21099,0.40665,0.000993068,0.000993068,0.000993068
10,1165.81,0.2446,0.89062,1.01019,0.69237,0.77154,0.75929,0.74756,0.32417,0.73484,0.50849,0.000991232,0.000991232,0.000991232
11,1280.85,0.24265,0.89004,1.00865,0.62212,0.7729,0.73975,0.73304,0.195,0.91703,0.38959,0.000989183,0.000989183,0.000989183
12,1395.65,0.2315,0.87158,1.00083,0.57242,0.7676,0.74765,0.61062,0.4264,1.05638,0.51318,0.000986922,0.000986922,0.000986922
13,1510.59,0.23381,0.86977,1.00626,0.59946,0.8137,0.79387,0.76628,0.3089,0.81995,0.54102,0.000984449,0.000984449,0.000984449
14,1625.7,0.2182,0.83016,0.99341,0.80905,0.83062,0.88037,0.87583,0.20402,0.5612,0.37665,0.000981765,0.000981765,0.000981765
15,1741.07,0.21581,0.80899,0.99055,0.75806,0.81338,0.84314,0.78621,0.33281,0.68391,0.53366,0.000978873,0.000978873,0.000978873
16,1856.25,0.21728,0.805,0.9906,0.79985,0.83987,0.88269,0.86633,0.26301,0.57414,0.43506,0.000975773,0.000975773,0.000975773
17,1971.56,0.21353,0.79246,0.98791,0.73607,0.79742,0.82038,0.79707,0.28198,0.73647,0.49453,0.000972466,0.000972466,0.000972466
18,2086.26,0.21118,0.78853,0.9876,0.81984,0.82514,0.88131,0.85341,0.2584,0.53302,0.44214,0.000968955,0.000968955,0.000968955
19,2201.03,0.1981,0.77484,0.97648,0.76034,0.75936,0.82715,0.75398,0.31807,0.85341,0.41033,0.000965239,0.000965239,0.000965239
20,2316.01,0.20237,0.76241,0.98113,0.72873,0.84779,0.83105,0.7745,0.31818,0.76307,0.5395,0.000961322,0.000961322,0.000961322
21,2431.07,0.19616,0.7527,0.97774,0.80147,0.81266,0.85761,0.85275,0.16008,0.54175,0.30712,0.000957205,0.000957205,0.000957205
22,2546.03,0.19367,0.74689,0.96935,0.81012,0.83728,0.87784,0.83836,0.41637,0.75175,0.57326,0.000952889,0.000952889,0.000952889
23,2661.55,0.19041,0.7304,0.96906,0.83838,0.89607,0.92184,0.90996,0.24313,0.52078,0.45352,0.000948377,0.000948377,0.000948377
24,2776.83,0.18689,0.70364,0.96612,0.72839,0.85472,0.83735,0.80378,0.31511,0.57249,0.47247,0.000943671,0.000943671,0.000943671
25,2892.23,0.18513,0.72602,0.96898,0.75261,0.79735,0.82343,0.80797,0.25848,0.67742,0.42633,0.000938772,0.000938772,0.000938772
